videoId,positive_comments,negative_comments,neutral_comments
Vvn7D599kpE,33,12,17
ee5TRwPkG8E,82,13,107
amwRYk1g7zw,3,1,56
jfcXi84Sthw,6,7,62
aL62b1RmbmY,4,0,125
9R7isVYF8gM,4,1,56
6yjAFXHBHBE,36,6,24
ZAHANI9OUEA,23,2,143
HyAdJ4Z967g,9,3,74
tjGy1pMk_Yk,77,18,87
BK3Zsc-DHlE,3,0,104
Ym-5DNxYMzU,22,2,38
cZvptLNIHUU,7,1,112
axqEhI61P84,9,1,308
eB9UZpbUWSQ,13,5,47
WmCa1S7Fwjo,4,0,56
PhIXujCo79U,14,2,127
prfRJsIb1rc,60,6,20
LjL_Cv-xg_c,12,2,47
4c-Vm6jU6C0,16,0,42
yfRvUwGTmHQ,10,16,43
0WW_dEEqCfk,6,1,64
WiN-ogJcZDU,2,0,125
vg2APFDM2vA,33,5,92
