videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
RHCmtN-7xR8,Полный обзор беспроводных наушников Apple AirPods,UCT8ny3aoHGFPILpCsFuEq9A,Citrus,2017-01-18,597396,7451,505,573,122609834,540000,1463,28.18180084228516,2017-01-17,28.17475700378418,2017-01-24
tRKKknymi9Y,"Gifting My CAMERAMAN SUNEO GADGETS😱😍- Airpods Pro, Apple Watch, Smallest Phone",UCZ2AtDVMLq16wTxyMny0rQg,Master Butter,2020-11-11,596507,39325,2052,2139,97871875,690000,251,115.97000122070312,2020-11-10,119.38999938964844,2020-11-17
yYAjnEqjzmA,Why you NEED AirPods for your new Apple Watch,UCUUNkL6Wke6i0P6funa7wdQ,AppleInsider,2018-12-31,580493,5648,554,404,170680864,531000,1269,37.84006881713867,2018-12-28,35.909671783447266,2019-01-04
s1utHuPAqxg,$550 AirPods Max Are OFFICIAL! Everything You NEED to Know Before Ordering!,UCUUNkL6Wke6i0P6funa7wdQ,AppleInsider,2020-12-08,83935,1540,391,854,170680864,531000,1269,123.08000183105469,2020-12-02,,
iJ1vrNCemFc,Apple Airpod Pro w/ Active Noise Cancelling - REVIEW,UCcGYJndqreqXMUZoOhn3E7A,JimsReviewRoom,2019-11-07,581244,14665,276,1627,167670432,999000,619,63.052284240722656,2019-11-06,65.01905059814453,2019-11-13
v8uq7P2cjb8,The Truth about Apple AirPods Pro !,UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,2019-11-14,574132,37153,1189,1857,447078121,4440000,648,65.01905059814453,2019-11-13,64.70437622070311,2019-11-20
kYRghnqGt7o,Huawei FreeBuds Pro vs. Samsung Galaxy Buds Live vs. Apple AirPods Pro,UCzwe0YWblwBt2B_9_d-P44w,Pretty Tech,2020-10-27,874101,301,120,21,9088656,27200,427,114.8518524169922,2020-10-26,108.5826644897461,2020-11-02
N7bT56mrDF4,5 cosas sobre los Apple AirPods que debes saber,UCx_lYLRAnOwYFWrbfwAs0iA,iSenaCode,2017-01-03,527298,5976,365,274,81952402,391000,2309,27.20013427734375,2016-12-30,27.944602966308594,2017-01-09
WGDNjMoM3V4,Review: Apple AirPods PRO ¿Merecen la pena?,UCx_lYLRAnOwYFWrbfwAs0iA,iSenaCode,2019-11-16,61210,1722,81,136,81952402,391000,2309,65.33621215820311,2019-11-15,64.35772705078125,2019-11-22
NvjmJbjQSkU,Using APPLE AIRPODS on ANDROID (Apple Airpod 2 Review),UCI_lLkWji9bFWGkRGM_5TkQ,Copper vs Glass,2019-04-05,523510,5262,424,676,24433011,75300,720,47.60085678100586,2019-04-04,48.393836975097656,2019-04-11
XKWM25yN0wc,Apples neue AirPods Max - Wir müssen reden.,UC173FCaSv6VvqDxuoinDr3g,Felixba,2020-12-08,525919,28002,844,4455,153639229,707000,779,123.08000183105469,2020-12-02,,
LgEJe5ZYPSU,How to Check Apple AirPods Battery Life Out Of The Case For The iPhone And Android,UC8TENxiHgZlGo6nqpfyYVgw,SidsTips,2018-06-01,500857,3638,192,416,14089039,15200,2282,44.94629669189453,2018-05-31,46.53134155273438,2018-06-07
RGuBkl_0XeA,How To Answer and Hang Up A Call With The Apple Airpods On The iPhone,UC8TENxiHgZlGo6nqpfyYVgw,SidsTips,2019-03-14,263163,4174,90,182,14089039,15200,2282,44.20027542114258,2019-03-13,45.76921081542969,2019-03-20
WpeQMg6YUH0,iPhone 7 + AirPods – Stroll — Apple Official,UCfsKYESfFjJrhLfW8hAqKfg,Angedelile,2017-02-25,498910,8952,101,323,64219843,199000,102,32.23352432250977,2017-02-24,32.969432830810554,2017-03-03
0zMxtkwlDCY,₹75000 APPLE കൊണ്ടുപോയപ്പോൾ ⌚️ airpod pro | apple watch 6,UCkJfmb163NsCn5RilDm7Q6g,Karthik Surya,2020-12-06,499410,60281,1252,3374,83870848,818000,192,123.08000183105469,2020-12-02,,
bgjsGMC-CXM,Samsung Galaxy Buds+ vs Apple AirPods Pro [Honest Comparison],UCZZ4ivUawsXRktLKej8d6Xw,Mike O'Brien,2020-02-29,490109,13705,296,1703,30043086,183000,160,67.36412811279297,2020-02-28,71.2256851196289,2020-03-06
